id,filepath,label,split
benign_0000,benign_eml/benign_0000.eml,benign,test
benign_0001,benign_eml/benign_0001.eml,benign,test
benign_0002,benign_eml/benign_0002.eml,benign,test
benign_0003,benign_eml/benign_0003.eml,benign,test
benign_0004,benign_eml/benign_0004.eml,benign,test
benign_0005,benign_eml/benign_0005.eml,benign,test
benign_0006,benign_eml/benign_0006.eml,benign,test
benign_0007,benign_eml/benign_0007.eml,benign,test
benign_0008,benign_eml/benign_0008.eml,benign,test
benign_0009,benign_eml/benign_0009.eml,benign,test
benign_0010,benign_eml/benign_0010.eml,benign,test
benign_0011,benign_eml/benign_0011.eml,benign,test
benign_0012,benign_eml/benign_0012.eml,benign,test
benign_0013,benign_eml/benign_0013.eml,benign,test
benign_0014,benign_eml/benign_0014.eml,benign,test
benign_0015,benign_eml/benign_0015.eml,benign,test
benign_0016,benign_eml/benign_0016.eml,benign,test
benign_0017,benign_eml/benign_0017.eml,benign,test
benign_0018,benign_eml/benign_0018.eml,benign,test
benign_0019,benign_eml/benign_0019.eml,benign,test
benign_0020,benign_eml/benign_0020.eml,benign,test
benign_0021,benign_eml/benign_0021.eml,benign,test
benign_0022,benign_eml/benign_0022.eml,benign,test
benign_0023,benign_eml/benign_0023.eml,benign,test
benign_0024,benign_eml/benign_0024.eml,benign,test
benign_0025,benign_eml/benign_0025.eml,benign,test
benign_0026,benign_eml/benign_0026.eml,benign,test
benign_0027,benign_eml/benign_0027.eml,benign,test
benign_0028,benign_eml/benign_0028.eml,benign,test
benign_0029,benign_eml/benign_0029.eml,benign,test
benign_0030,benign_eml/benign_0030.eml,benign,test
benign_0031,benign_eml/benign_0031.eml,benign,test
benign_0032,benign_eml/benign_0032.eml,benign,test
benign_0033,benign_eml/benign_0033.eml,benign,test
benign_0034,benign_eml/benign_0034.eml,benign,test
benign_0035,benign_eml/benign_0035.eml,benign,test
benign_0036,benign_eml/benign_0036.eml,benign,test
benign_0037,benign_eml/benign_0037.eml,benign,test
benign_0038,benign_eml/benign_0038.eml,benign,test
benign_0039,benign_eml/benign_0039.eml,benign,test
benign_0040,benign_eml/benign_0040.eml,benign,test
benign_0041,benign_eml/benign_0041.eml,benign,test
benign_0042,benign_eml/benign_0042.eml,benign,test
benign_0043,benign_eml/benign_0043.eml,benign,test
benign_0044,benign_eml/benign_0044.eml,benign,test
benign_0045,benign_eml/benign_0045.eml,benign,test
benign_0046,benign_eml/benign_0046.eml,benign,test
benign_0047,benign_eml/benign_0047.eml,benign,test
benign_0048,benign_eml/benign_0048.eml,benign,test
benign_0049,benign_eml/benign_0049.eml,benign,test
benign_0050,benign_eml/benign_0050.eml,benign,test
benign_0051,benign_eml/benign_0051.eml,benign,test
benign_0052,benign_eml/benign_0052.eml,benign,test
benign_0053,benign_eml/benign_0053.eml,benign,test
benign_0054,benign_eml/benign_0054.eml,benign,test
benign_0055,benign_eml/benign_0055.eml,benign,test
benign_0056,benign_eml/benign_0056.eml,benign,test
benign_0057,benign_eml/benign_0057.eml,benign,test
benign_0058,benign_eml/benign_0058.eml,benign,test
benign_0059,benign_eml/benign_0059.eml,benign,test
benign_0060,benign_eml/benign_0060.eml,benign,test
benign_0061,benign_eml/benign_0061.eml,benign,test
benign_0062,benign_eml/benign_0062.eml,benign,test
benign_0063,benign_eml/benign_0063.eml,benign,test
benign_0064,benign_eml/benign_0064.eml,benign,test
benign_0065,benign_eml/benign_0065.eml,benign,test
benign_0066,benign_eml/benign_0066.eml,benign,test
benign_0067,benign_eml/benign_0067.eml,benign,test
benign_0068,benign_eml/benign_0068.eml,benign,test
benign_0069,benign_eml/benign_0069.eml,benign,test
benign_0070,benign_eml/benign_0070.eml,benign,test
benign_0071,benign_eml/benign_0071.eml,benign,test
benign_0072,benign_eml/benign_0072.eml,benign,test
benign_0073,benign_eml/benign_0073.eml,benign,test
benign_0074,benign_eml/benign_0074.eml,benign,test
benign_0075,benign_eml/benign_0075.eml,benign,test
benign_0076,benign_eml/benign_0076.eml,benign,test
benign_0077,benign_eml/benign_0077.eml,benign,test
benign_0078,benign_eml/benign_0078.eml,benign,test
benign_0079,benign_eml/benign_0079.eml,benign,test
benign_0080,benign_eml/benign_0080.eml,benign,test
benign_0081,benign_eml/benign_0081.eml,benign,test
benign_0082,benign_eml/benign_0082.eml,benign,test
benign_0083,benign_eml/benign_0083.eml,benign,test
benign_0084,benign_eml/benign_0084.eml,benign,test
benign_0085,benign_eml/benign_0085.eml,benign,test
benign_0086,benign_eml/benign_0086.eml,benign,test
benign_0087,benign_eml/benign_0087.eml,benign,test
benign_0088,benign_eml/benign_0088.eml,benign,test
benign_0089,benign_eml/benign_0089.eml,benign,test
