id,filepath,label,split
Geeksquad_invoice,images/phish/Geeksquad_invoice.png,phish,test
invoice_scam,images/phish/invoice_scam.png,phish,test
Invoice_scam2,images/phish/Invoice_scam2.png,phish,test
norton_renewal_scam,images/phish/norton_renewal_scam.png,phish,test
Paypal_invoice_scam,images/phish/Paypal_invoice_scam.png,phish,test
phish_impersonation,images/phish/phish_impersonation.png,phish,test
phish_spotify,images/phish/phish_spotify.png,phish,test
renewal_scam,images/phish/renewal_scam.png,phish,test
test_image,images/phish/test_image.png,phish,test
test_image_2,images/phish/test_image_2.png,phish,test
test_image_3,images/phish/test_image_3.png,phish,test
Test_image_4,images/phish/Test_image_4.png,phish,test
Adobe_Benign,images/benign/Adobe_Benign.png,benign,test
Apple_Benign,images/benign/Apple_Benign.png,benign,test
Booking_Confirmed_Benign,images/benign/Booking_Confirmed_Benign.png,benign,test
Boots_Benign,images/benign/Boots_Benign.png,benign,test
Eventbrite_Benign,images/benign/Eventbrite_Benign.png,benign,test
Order_Confirmed_Benign,images/benign/Order_Confirmed_Benign.png,benign,test
Paypal1_Benign,images/benign/Paypal1_Benign.png,benign,test
Paypal2_Benign,images/benign/Paypal2_Benign.png,benign,test
Steam_Benign,images/benign/Steam_Benign.png,benign,test
Tiktok_Email,images/benign/Tiktok_Email.png,benign,test
